ID,name,type,category,price
d1f7c9a2-3b4e-4a6f-8c1d-9e2f7a6b5c10,iPhone 15,Electronics,Mobile,799
a3b8e1d4-5f6c-4d7a-9b2e-1c3f5a7d8e20,Samsung Galaxy S23,Electronics,Mobile,749
b7c2d9e4-1a3f-4b6c-8d5e-2f7a9c1e3d30,MacBook Air M2,Electronics,Laptop,1199
c4d8e1f7-2b3a-4c6d-9e1f-3a7b5c2d4e40,Dell XPS 13,Electronics,Laptop,999
e2f9a4b7-3c1d-4e6f-8a2b-4c7d9e1f5a50,Sony WH-1000XM5,Electronics,Headphones,349
f6a1b3c8-4d2e-4f7a-9c3d-5e8f1a2b6c60,Nike Air Max,Sportswear,Shoes,129
a9c4e7d1-5b3f-4a6c-8d4e-6f1a3b7c9d70,Adidas Hoodie,Clothing,Apparel,79
b1e5f8a3-6c4d-4b7a-9e5f-7a2c4d8e1f80,Wooden Dining Table,Furniture,Home,499
c7f2a9d4-7e5b-4c6a-8f6a-8b3d5e9f2a90,Office Chair,Furniture,Office,199
d8a3c6e1-8f6c-4d7b-9a7b-9c4e6f1a3b00,Instant Pot Duo,Appliances,Kitchen,99
